file_title,url,saved_as,status,error
File:Flag_of_the_Taliban.svg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_the_Taliban.svg,Flag_of_the_Taliban.svg,downloaded,
File:Flag_of_Albania.svg,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,Flag_of_Albania.svg,downloaded,
File:Flag_of_Germany.svg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg,Flag_of_Germany.svg,downloaded,
File:Flag_of_Andorra.svg,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg,Flag_of_Andorra.svg,downloaded,
File:Flag_of_Angola.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,Flag_of_Angola.svg,downloaded,
File:Flag_of_Antigua_and_Barbuda.svg,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg,Flag_of_Antigua_and_Barbuda.svg,downloaded,
File:Flag_of_Saudi_Arabia.svg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,Flag_of_Saudi_Arabia.svg,downloaded,
File:Flag_of_Algeria.svg,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,Flag_of_Algeria.svg,downloaded,
File:Flag_of_Argentina.svg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,Flag_of_Argentina.svg,downloaded,
File:Flag_of_Armenia.svg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,Flag_of_Armenia.svg,downloaded,
File:Flag_of_Australia_(converted).svg,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,Flag_of_Australia_(converted).svg,downloaded,
File:Flag_of_Austria.svg,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,Flag_of_Austria.svg,downloaded,
File:Flag_of_Azerbaijan.svg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,Flag_of_Azerbaijan.svg,downloaded,
File:Flag_of_the_Bahamas.svg,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg,Flag_of_the_Bahamas.svg,downloaded,
File:Flag_of_Bangladesh.svg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,Flag_of_Bangladesh.svg,downloaded,
File:Flag_of_Barbados.svg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg,Flag_of_Barbados.svg,downloaded,
File:Flag_of_Bahrain.svg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,Flag_of_Bahrain.svg,downloaded,
File:Flag_of_Belgium.svg,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Belgium.svg,Flag_of_Belgium.svg,downloaded,
File:Flag_of_Belize.svg,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,Flag_of_Belize.svg,downloaded,
File:Flag_of_Benin.svg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,Flag_of_Benin.svg,downloaded,
File:Flag_of_Belarus.svg,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,Flag_of_Belarus.svg,downloaded,
File:Flag_of_Myanmar.svg,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,Flag_of_Myanmar.svg,downloaded,
File:Flag_of_Bolivia.svg,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,Flag_of_Bolivia.svg,downloaded,
File:Flag_of_Bosnia_and_Herzegovina.svg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,Flag_of_Bosnia_and_Herzegovina.svg,downloaded,
File:Flag_of_Botswana.svg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,Flag_of_Botswana.svg,downloaded,
File:Flag_of_Brazil.svg,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Brazil.svg,Flag_of_Brazil.svg,downloaded,
File:Flag_of_Brunei.svg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg,Flag_of_Brunei.svg,downloaded,
File:Flag_of_Bulgaria.svg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,Flag_of_Bulgaria.svg,downloaded,
File:Flag_of_Burkina_Faso.svg,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,Flag_of_Burkina_Faso.svg,downloaded,
File:Flag_of_Burundi.svg,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,Flag_of_Burundi.svg,downloaded,
File:Flag_of_Bhutan.svg,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,Flag_of_Bhutan.svg,downloaded,
File:Flag_of_Cape_Verde.svg,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg,Flag_of_Cape_Verde.svg,downloaded,
File:Flag_of_Cambodia.svg,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,Flag_of_Cambodia.svg,downloaded,
File:Flag_of_Cameroon.svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,Flag_of_Cameroon.svg,downloaded,
File:Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,Flag_of_Canada.svg,downloaded,
File:Flag_of_Qatar.svg,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,Flag_of_Qatar.svg,downloaded,
File:Flag_of_Chad.svg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,Flag_of_Chad.svg,downloaded,
File:Flag_of_Chile.svg,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,Flag_of_Chile.svg,downloaded,
File:Flag_of_the_People's_Republic_of_China.svg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,Flag_of_the_People's_Republic_of_China.svg,downloaded,
File:Flag_of_Cyprus.svg,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,Flag_of_Cyprus.svg,downloaded,
File:Flag_of_Colombia.svg,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,Flag_of_Colombia.svg,downloaded,
File:Flag_of_the_Comoros.svg,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg,Flag_of_the_Comoros.svg,downloaded,
File:Flag_of_North_Korea.svg,https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg,Flag_of_North_Korea.svg,downloaded,
File:Flag_of_South_Korea.svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,Flag_of_South_Korea.svg,downloaded,
File:Flag_of_Côte_d'Ivoire.svg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,Flag_of_Côte_d'Ivoire.svg,downloaded,
File:Flag_of_Costa_Rica.svg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,Flag_of_Costa_Rica.svg,downloaded,
File:Flag_of_Croatia.svg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,Flag_of_Croatia.svg,downloaded,
File:Flag_of_Cuba.svg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,Flag_of_Cuba.svg,downloaded,
File:Flag_of_Denmark.svg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,Flag_of_Denmark.svg,downloaded,
File:Flag_of_Dominica.svg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg,Flag_of_Dominica.svg,downloaded,
File:Flag_of_Ecuador.svg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,Flag_of_Ecuador.svg,downloaded,
File:Flag_of_Egypt.svg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,Flag_of_Egypt.svg,downloaded,
File:Flag_of_El_Salvador.svg,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,Flag_of_El_Salvador.svg,downloaded,
File:Flag_of_the_United_Arab_Emirates.svg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg,Flag_of_the_United_Arab_Emirates.svg,downloaded,
File:Flag_of_Eritrea.svg,https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg,Flag_of_Eritrea.svg,downloaded,
File:Flag_of_Slovakia.svg,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg,Flag_of_Slovakia.svg,downloaded,
File:Flag_of_Slovenia_(WFB_2013).svg,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Slovenia_%28WFB_2013%29.svg,Flag_of_Slovenia_(WFB_2013).svg,downloaded,
File:Flag_of_Spain.svg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg,Flag_of_Spain.svg,downloaded,
File:Flag_of_the_Federated_States_of_Micronesia.svg,https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg,Flag_of_the_Federated_States_of_Micronesia.svg,downloaded,
File:Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,Flag_of_the_United_States.svg,downloaded,
File:Flag_of_Estonia.svg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,Flag_of_Estonia.svg,downloaded,
File:Flag_of_Ethiopia.svg,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,Flag_of_Ethiopia.svg,downloaded,
File:Flag_of_the_Philippines.svg,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg,Flag_of_the_Philippines.svg,downloaded,
File:Flag_of_Finland.svg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,Flag_of_Finland.svg,downloaded,
File:Flag_of_Fiji.svg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg,Flag_of_Fiji.svg,downloaded,
"File:Flag_of_France_(1794–1815,_1830–1974,_2020–present).svg",https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg,Flag_of_France.svg,downloaded,
File:Flag_of_France.svg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg,Flag_of_France.svg,already_exists,
File:Flag_of_Gabon.svg,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,Flag_of_Gabon.svg,downloaded,
File:Flag_of_The_Gambia.svg,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg,Flag_of_The_Gambia.svg,downloaded,
File:Flag_of_Georgia.svg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,Flag_of_Georgia.svg,downloaded,
File:Flag_of_Ghana.svg,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,Flag_of_Ghana.svg,downloaded,
File:Flag_of_Grenada.svg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg,Flag_of_Grenada.svg,downloaded,
File:Flag_of_Greece.svg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,Flag_of_Greece.svg,downloaded,
File:Flag_of_Guatemala.svg,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,Flag_of_Guatemala.svg,downloaded,
File:Flag_of_Guinea.svg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,Flag_of_Guinea.svg,downloaded,
File:Flag_of_Guinea-Bissau.svg,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg,Flag_of_Guinea-Bissau.svg,downloaded,
File:Flag_of_Equatorial_Guinea.svg,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg,Flag_of_Equatorial_Guinea.svg,downloaded,
File:Flag_of_Guyana.svg,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg,Flag_of_Guyana.svg,downloaded,
File:Flag_of_Haiti.svg,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg,Flag_of_Haiti.svg,downloaded,
"File:Flag_of_Honduras_(1949–2022,_2026–present).svg",https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Honduras_%281949%E2%80%932022%2C_2026%E2%80%93present%29.svg,"Flag_of_Honduras_(1949–2022,_2026–present).svg",downloaded,
File:Flag_of_Hungary.svg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,Flag_of_Hungary.svg,downloaded,
File:Flag_of_India.svg,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg,Flag_of_India.svg,downloaded,
File:Flag_of_Indonesia.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,Flag_of_Indonesia.svg,downloaded,
File:Flag_of_Iraq.svg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,Flag_of_Iraq.svg,downloaded,
File:Flag_of_Iran.svg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,Flag_of_Iran.svg,downloaded,
File:Flag_of_Ireland.svg,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Flag_of_Ireland.svg,downloaded,
File:Flag_of_Iceland.svg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,Flag_of_Iceland.svg,downloaded,
File:Flag_of_the_Marshall_Islands.svg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg,Flag_of_the_Marshall_Islands.svg,downloaded,
File:Flag_of_the_Solomon_Islands.svg,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg,Flag_of_the_Solomon_Islands.svg,downloaded,
File:Flag_of_Israel.svg,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,Flag_of_Israel.svg,downloaded,
File:Flag_of_Italy.svg,https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg,Flag_of_Italy.svg,downloaded,
File:Flag_of_Jamaica.svg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,Flag_of_Jamaica.svg,downloaded,
File:Flag_of_Japan.svg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Japan.svg,Flag_of_Japan.svg,downloaded,
File:Flag_of_Jordan.svg,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,Flag_of_Jordan.svg,downloaded,
File:Flag_of_Kazakhstan.svg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg,Flag_of_Kazakhstan.svg,downloaded,
File:Flag_of_Kenya.svg,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,Flag_of_Kenya.svg,downloaded,
File:Flag_of_Kyrgyzstan.svg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg,Flag_of_Kyrgyzstan.svg,downloaded,
File:Flag_of_Kiribati.svg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg,Flag_of_Kiribati.svg,downloaded,
File:Flag_of_Kuwait.svg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg,Flag_of_Kuwait.svg,downloaded,
File:Flag_of_Laos.svg,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg,Flag_of_Laos.svg,downloaded,
File:Flag_of_Lesotho.svg,https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg,Flag_of_Lesotho.svg,downloaded,
File:Flag_of_Latvia.svg,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,Flag_of_Latvia.svg,downloaded,
